Alliance,CONTESTED,WON,FD,VOTES,Voteshare%
BJP,291,3,263,5555134,10.1560481665521
CPIM+INC,251,71,4,18294921,33.4472757775538
OTHERS,1420,9,1360,6283213,11.487142140712773
TMC,293,211,1,24564523,44.90953391518133
