Agency,TMC,CPIM+INC,BJP,OTH
Times Now - CVoter (Mar),160,127,4,2
ABP - Neilson (Mar),178,110,1,5
News Nation (Mar),167,125,2,3
ETV Bangla (Mar),201,64,,
Leadtech Infoelections (Feb),109,73,109,3
ABP Ananda - Neilson (Feb),182,107,0,5
India TV - CVoter (Feb),156,127,,11
Times Now - CVoter,167,110,4,3
India Today - Axis,243,44,4,3
ABP-Ananda,163,126,1,4
NewsX - Chanakya,210,70,14,0
News Nation,181,153,0,0
NDTV,184,130,5,2
