Alliance,CONTESTED,WON,FD,VOTES,Voteshare%
BJP,289,0,285,1934650,4.06
LEFT FRONT,284,60,3,18903720,39.68
OTHERS,861,8,829,3728310,7.82
TMC+INC,292,226,8,22878258,48.019999999999996
